구분,과목코드,분반,교과목명,담당교수,강의시간,학점,수강인원,제한인원
교양필수,922601,01,AI시대의컴퓨팅사고,김선경,화11:30-13:30,2,,
교양필수,922601,02,AI시대의컴퓨팅사고,박효진,화11:30-13:30,2,,
교양필수,922601,03,AI시대의컴퓨팅사고,김지연,금09:30-11:30,2,,
교양필수,922601,04,AI시대의컴퓨팅사고,김상오,금09:30-11:30,2,,
교양필수,922601,05,AI시대의컴퓨팅사고,김선경,금09:30-11:30,2,,
교양필수,922601,06,AI시대의컴퓨팅사고,이윤정,월11:30-13:30,2,,
교양필수,922601,07,AI시대의컴퓨팅사고,김상오,금11:30-13:30,2,,
교양필수,922601,08,AI시대의컴퓨팅사고,김선경,금11:30-13:30,2,,
교양필수,922601,09,AI시대의컴퓨팅사고,이윤정,수09:30-11:30,2,,
교양필수,922601,10,AI시대의컴퓨팅사고,이윤정,수11:30-13:30,2,,
교양필수,922601,11,AI시대의컴퓨팅사고,김상오,수11:30-13:30,2,,
교양필수,922601,12,AI시대의컴퓨팅사고,김선경,화09:30-11:30,2,,
교양필수,922601,13,AI시대의컴퓨팅사고,김지연,화09:30-11:30,2,,
교양필수,922601,14,AI시대의컴퓨팅사고,박효진,화09:30-11:30,2,,
교양필수,922601,15,AI시대의컴퓨팅사고,김선경,수09:30-11:30,2,,
교양필수,922601,16,AI시대의컴퓨팅사고,김지연,수09:30-11:30,2,,
교양필수,922601,17,AI시대의컴퓨팅사고,김지연,목09:30-11:30,2,,
교양필수,922601,18,AI시대의컴퓨팅사고,김상오,목09:30-11:30,2,,
교양필수,922601,19,AI시대의컴퓨팅사고,김상오,목11:30-13:30,2,,
교양필수,922601,20,AI시대의컴퓨팅사고,김선경,월09:30-11:30,2,,
교양필수,922601,21,AI시대의컴퓨팅사고,박효진,월09:30-11:30,2,,
교양필수,922601,22,AI시대의컴퓨팅사고,이윤정,월09:30-11:30,2,,
교양필수,922601,23,AI시대의컴퓨팅사고,김선경,월11:30-13:30,2,,
교양필수,922601,24,AI시대의컴퓨팅사고,박효진,월11:30-13:30,2,,
교양필수,927283,01,사고와표현,정연희,수15:30-17:30,2,,
교양필수,927283,02,사고와표현,박동근,월09:30-11:30,2,,
교양필수,927283,03,사고와표현,박동근,화09:30-11:30,2,,
교양필수,927283,04,사고와표현,김도환,월09:30-11:30,2,,
교양필수,927283,05,사고와표현,김도환,수09:30-11:30,2,,
교양필수,927283,06,사고와표현,김연희,수09:30-11:30,2,,
교양필수,927283,07,사고와표현,박동근,목09:30-11:30,2,,
교양필수,927283,08,사고와표현,김도환,수11:30-13:30,2,,
교양필수,927283,09,사고와표현,신유식,목09:30-11:30,2,,
교양필수,927283,10,사고와표현,김연희,월09:30-11:30,2,,
교양필수,927283,11,사고와표현,정연희,화09:30-11:30,2,,
교양필수,927283,12,사고와표현,김도환,화09:30-11:30,2,,
교양필수,927283,13,사고와표현,신유식,화09:30-11:30,2,,
교양필수,927283,14,사고와표현,정연희,화11:30-13:30,2,,
교양필수,927283,15,사고와표현,김도환,화11:30-13:30,2,,
교양필수,927283,16,사고와표현,신유식,화11:30-13:30,2,,
교양필수,927283,17,사고와표현,박동근,목11:30-13:30,2,,
교양필수,927283,18,사고와표현,신유식,목11:30-13:30,2,,
교양필수,927283,19,사고와표현,김연희,월11:30-13:30,2,,
교양필수,927283,20,사고와표현,김연희,수11:30-13:30,2,,
교양필수,927283,21,사고와표현,박동근,월11:30-13:30,2,,
교양필수,927283,22,사고와표현,정연희,월11:30-13:30,2,,
교양필수,927283,23,사고와표현,김도환,월11:30-13:30,2,,
교양필수,927283,24,사고와표현,임보연,화09:30-11:30,2,,
교양필수,927283,25,사고와표현,임보연,화11:30-13:30,2,,
교양필수,927283,26,사고와표현,임보연,수09:30-11:30,2,,
교양필수,927283,27,사고와표현,임보연,수11:30-13:30,2,,
교양필수,927284,01,영어읽기와토론,배주현,화11:30-13:30,2,,
교양필수,927284,02,영어읽기와토론,임도현,화11:30-13:30,2,,
교양필수,927284,03,영어읽기와토론,변효정,화11:30-13:30,2,,
교양필수,927284,04,영어읽기와토론,임도현,화09:30-11:30,2,,
교양필수,927284,05,영어읽기와토론,김한규,화09:30-11:30,2,,
교양필수,927284,06,영어읽기와토론,변효정,목11:30-13:30,2,,
교양필수,927284,07,영어읽기와토론,김한규,수09:30-11:30,2,,
교양필수,927284,08,영어읽기와토론,임도현,수11:30-13:30,2,,
교양필수,927284,09,영어읽기와토론,김한규,수11:30-13:30,2,,
교양필수,927284,10,영어읽기와토론,변효정,수11:30-13:30,2,,
교양필수,927284,11,영어읽기와토론,임도현,수09:30-11:30,2,,
교양필수,927284,12,영어읽기와토론,김한규,금09:30-11:30,2,,
교양필수,927284,13,영어읽기와토론,임도현,목09:30-11:30,2,,
교양필수,927284,14,영어읽기와토론,김한규,목09:30-11:30,2,,
교양필수,927284,15,영어읽기와토론,변효정,목09:30-11:30,2,,
교양필수,927284,16,영어읽기와토론,김한규,목11:30-13:30,2,,
교양필수,927284,17,영어읽기와토론,임도현,목11:30-13:30,2,,
교양필수,927284,18,영어읽기와토론,김한규,금11:30-13:30,2,,
교양필수,927284,19,영어읽기와토론,김호정,월09:30-11:30,2,,
교양필수,927284,20,영어읽기와토론,김한규,월09:30-11:30,2,,
교양필수,927284,21,영어읽기와토론,변효정,월11:30-13:30,2,,
교양필수,927284,22,영어읽기와토론,임도현,월11:30-13:30,2,,
교양필수,927284,23,영어읽기와토론,김한규,월11:30-13:30,2,,
교양필수,927311,01,대학생활과진로,취업강사11,,1,,
교양필수,927430,01,대순사상과상생윤리,최치봉,화11:30-13:30,2,,
교양필수,927430,02,대순사상과상생윤리,연영흠,화09:30-11:30,2,,
교양필수,927430,03,대순사상과상생윤리,연영흠,화11:30-13:30,2,,
교양필수,927430,04,대순사상과상생윤리,연영흠,수09:30-11:30,2,,
교양필수,927430,05,대순사상과상생윤리,연영흠,수11:30-13:30,2,,
교양필수,927430,06,대순사상과상생윤리,황희연,월11:30-13:30,2,,
교양필수,927430,07,대순사상과상생윤리,황희연,월13:30-15:30,2,,
교양필수,927430,08,대순사상과상생윤리,황희연,월15:30-17:30,2,,
교양필수,927430,09,대순사상과상생윤리,김태수,월09:30-11:30,2,,
교양필수,927430,10,대순사상과상생윤리,김태수,월11:30-13:30,2,,
교양필수,927430,11,대순사상과상생윤리,김태수,화09:30-11:30,2,,
교양필수,927430,12,대순사상과상생윤리,김태수,화11:30-13:30,2,,
교양필수,927430,13,대순사상과상생윤리,김대현,목09:30-11:30,2,,
교양필수,927430,14,대순사상과상생윤리,김대현,목11:30-13:30,2,,
교양필수,927430,15,대순사상과상생윤리,김대현,금09:30-11:30,2,,
교양필수,927430,16,대순사상과상생윤리,김대현,금11:30-13:30,2,,
교양필수,927430,17,대순사상과상생윤리,김의성,수09:30-11:30,2,,
교양필수,927430,18,대순사상과상생윤리,김의성,수11:30-13:30,2,,
교양필수,927430,19,대순사상과상생윤리,김의성,목09:30-11:30,2,,
