college,academic_unit,unit_type,homepage_url,department_curriculum_url,department_curriculum_url_status,sequence_map_url,handbook_2026_printed_page,handbook_2026_pdf_page,central_curriculum_source,handbook_years_available,major_required_data_status,formal_prerequisite_data_status,graduation_transition_2026,graduation_source_academic_unit,central_graduation_source,department_graduation_url,name_change_or_transition_note
대순종학대학,대순종학과,학과,https://daesoon.daejin.ac.kr/daesoon/index.do,https://daesoon.daejin.ac.kr/daesoon/1386/subview.do,확인,,32,38,https://www.daejin.ac.kr/bbs/daejin/188/458095/artclView.do,2023;2024;2025;2026,확인 가능,별도 공식 데이터 미확인,표준화 자격요건 바로 적용,대순종학과,https://www.daejin.ac.kr/sites/daejin/files/2026학년도-졸업논문시험지정표_v39(2026.04.15.).xlsx,,
인문예술대학,영어영문학과,학과,https://eng.daejin.ac.kr/eng/index.do,https://eng.daejin.ac.kr/eng/1422/subview.do,확인,https://eng.daejin.ac.kr/eng/1427/subview.do,34,40,https://www.daejin.ac.kr/bbs/daejin/188/458095/artclView.do,2023;2024;2025;2026,확인 가능,별도 공식 데이터 미확인,표준화 자격요건 바로 적용,영어영문학과,https://www.daejin.ac.kr/sites/daejin/files/2026학년도-졸업논문시험지정표_v39(2026.04.15.).xlsx,,
인문예술대학,역사문화콘텐츠학과,학과,https://hcc.daejin.ac.kr/hcc/index.do,https://hcc.daejin.ac.kr/hcc/1457/subview.do,확인,https://hcc.daejin.ac.kr/hcc/1462/subview.do,35,41,https://www.daejin.ac.kr/bbs/daejin/188/458095/artclView.do,2023;2024;2025;2026,확인 가능,별도 공식 데이터 미확인,표준화 자격요건 바로 적용,역사∙문화콘텐츠학과,https://www.daejin.ac.kr/sites/daejin/files/2026학년도-졸업논문시험지정표_v39(2026.04.15.).xlsx,https://hcc.daejin.ac.kr/hcc/1470/subview.do,졸업요건 XLSX에는 '역사∙문화콘텐츠학과'로 표기
인문예술대학,문예콘텐츠창작학과,학과,https://creativewriting.daejin.ac.kr/creativewriting/index.do,https://creativewriting.daejin.ac.kr/creativewriting/1494/subview.do,확인,,36,42,https://www.daejin.ac.kr/bbs/daejin/188/458095/artclView.do,2023;2024;2025;2026,확인 가능,별도 공식 데이터 미확인,표준화 자격요건 바로 적용,문예콘텐츠창작학과,https://www.daejin.ac.kr/sites/daejin/files/2026학년도-졸업논문시험지정표_v39(2026.04.15.).xlsx,https://creativewriting.daejin.ac.kr/creativewriting/8573/subview.do,
인문예술대학,미술만화게임학부 공통,학부 공통,https://mca.daejin.ac.kr/mca/index.do,,학부 공통 전용 페이지 미확인,,37,43,https://www.daejin.ac.kr/bbs/daejin/188/458095/artclView.do,2023;2024;2025;2026,확인 가능,별도 공식 데이터 미확인,해당 없음,,,,현대미술전공·만화게임그래픽전공의 공통 교육과정; 독립 졸업심사 단위 아님
인문예술대학,현대미술전공,전공,https://mca.daejin.ac.kr/mca/index.do,https://mca.daejin.ac.kr/mca/1529/subview.do,확인,,38,44,https://www.daejin.ac.kr/bbs/daejin/188/458095/artclView.do,2023;2024;2025;2026,확인 가능,별도 공식 데이터 미확인,표준화 자격요건 바로 적용,현대미술전공,https://www.daejin.ac.kr/sites/daejin/files/2026학년도-졸업논문시험지정표_v39(2026.04.15.).xlsx,,
인문예술대학,만화게임그래픽전공,전공,https://cggm.daejin.ac.kr/cggm/index.do,https://cggm.daejin.ac.kr/cggm/1564/subview.do,확인,,39,45,https://www.daejin.ac.kr/bbs/daejin/188/458095/artclView.do,2023;2024;2025;2026,확인 가능,별도 공식 데이터 미확인,표준화 자격요건 바로 적용,만화게임그래픽전공,https://www.daejin.ac.kr/sites/daejin/files/2026학년도-졸업논문시험지정표_v39(2026.04.15.).xlsx,,
인문예술대학,시각디자인학과,학과,https://design.daejin.ac.kr/design/index.do,https://design.daejin.ac.kr/design/1599/subview.do,확인,,40,46,https://www.daejin.ac.kr/bbs/daejin/188/458095/artclView.do,2023;2024;2025;2026,확인 가능,별도 공식 데이터 미확인,표준화 자격요건 바로 적용,시각디자인학과,https://www.daejin.ac.kr/sites/daejin/files/2026학년도-졸업논문시험지정표_v39(2026.04.15.).xlsx,,
인문예술대학,산업디자인학과,학과,https://id.daejin.ac.kr/id/index.do,https://id.daejin.ac.kr/id/1634/subview.do,확인,,41,47,https://www.daejin.ac.kr/bbs/daejin/188/458095/artclView.do,2023;2024;2025;2026,확인 가능,별도 공식 데이터 미확인,표준화 자격요건 바로 적용,산업디자인학과,https://www.daejin.ac.kr/sites/daejin/files/2026학년도-졸업논문시험지정표_v39(2026.04.15.).xlsx,,
인문예술대학,영화영상학과,학과,https://djfilm.daejin.ac.kr/djfilm/index.do,https://djfilm.daejin.ac.kr/djfilm/1669/subview.do,확인,,42,48,https://www.daejin.ac.kr/bbs/daejin/188/458095/artclView.do,2023;2024;2025;2026,확인 가능,별도 공식 데이터 미확인,표준화 자격요건 바로 적용,영화영상학과,https://www.daejin.ac.kr/sites/daejin/files/2026학년도-졸업논문시험지정표_v39(2026.04.15.).xlsx,https://djfilm.daejin.ac.kr/djfilm/8104/subview.do,
